run_id,beam_size,img,label_true,context_true,label_generated
20220512_100225,5,70.jpg,"Reentry, December 27, 1968, photographed from a KC-135 Stratotanker at 40,000 feet","White streaks of light, with bright spots on the right side of them, fill the bottom of the frame. A larger yellow-tinted sphere with a streak is in the center of the frame. The background is black space.","The band 's performance at the top of the screen , performing with the Moon"
20220512_100225,5,82.jpg,"Sir John Tenniel's illustration of the Caterpillar for Lewis Carroll's Alice's Adventures in Wonderland is noted for its ambiguous central figure, whose head can be viewed as being a human male's face with a pointed nose and chin, or as being the head end of an actual caterpillar, with the first two right ""true"" legs visible.","Drawing of the back an anthropomorphic caterpillar, seated on a toadstool amid grass and flowers, blowing smoke from a hookah; a blonde girl in an old-fashioned frock is standing on tiptoe to peer at the caterpillar over the toadstool's edge",The illustration of an illustration from an illustration by John Tenniel
20220512_100225,5,83.jpg,Taj Mahal in Agra is one among the New7Wonders of the World,An Indian Mughal monument,A view of the temple complex
20220512_100225,5,86.jpg,As the Gulf Stream meanders across the North Atlantic from the North American east coast to Western Europe its temperature drops by 20C (36F).,Visualisation of the Gulf Stream stretching from the Gulf of Mexico to Western Europe,Map of the Columbia River
20220512_100225,5,87.jpg,"Path of the thermohaline circulation. Purple paths represent deep-water currents, while blue paths represent surface currents.","Map displaying a looping line with arrows indicating that water flows eastward in the far Southern Ocean, angling northeast of Australia, turning sough-after passing Alaska, then crossing the mid-Pacific to flow north of Australia, continuing west below Africa, then turning northwest until reaching eastern Canada, then angling east to southern Europe, then finally turning south just below Greenland and flowing down the Americas' eastern coast, and resuming its flow eastward to complete the circle",Map showing the extent of the central highlands and the Pacific Ocean
20220512_100225,5,88.jpg,Map of the five major ocean gyres,"Map showing 5 circles. The first is between western Australia and eastern Africa. The second is between eastern Australia and western South America. The third is between Japan and western North America. Of the two in the Atlantic, one is in hemisphere.",A map of the world 's tropical cyclone .
20220512_100225,5,89.jpg,Waves in the trade winds in the Atlantic Oceanareas of converging winds that move along the same track as the prevailing windcreate instabilities in the atmosphere that may lead to the formation of hurricanes.,Map of Caribbean showing seven approximately parallel westward-pointing arrows that extend from east of the Virgin Islands to Cuba. The southern arrows bend northward just east of the Dominican Republic before straightening out again.,A map of the U.S. Geological Survey shows projected on the north of the island
20220512_100225,5,139.jpg,Hitchcock (right) during the making of Number 13 in London,An early 1920s image of Hitchcock while directing his film titled Number 13,`` The City of the Sun '' was inspired by the film 's production .
20220512_100225,5,140.jpg,Advertisement for Blackmail (1929),"An advertisement for the film Blackmail Surrounding text describes the film as ""A Romance of Scotland Yard"" and ""The Powerful Talking Picture""",A poster for the film
20220512_100225,5,143.jpg,A typical shot from Rope (1948) with James Stewart turning his back to the fixed camera,A typical scene from Rope showing James Stewart,The music video for the film was inspired by the film to be used for the film .
